,日期,股號,股名,單價及股數,總價
0,2014-02-05,2330,台積電,100.5X29.0,2914.5
1,2014-03-05,2330,台積電,110.0X28.0,3080.0
2,2014-04-07,2330,台積電,117.5X25.0,2937.5
3,2014-05-05,2330,台積電,117.0X26.0,3042.0
4,2014-06-05,2330,台積電,123.0X24.0,2952.0
5,2014-07-07,2330,台積電,136.0X22.0,2992.0
6,2014-08-05,2330,台積電,119.5X25.0,2987.5
7,2014-09-05,2330,台積電,127.0X24.0,3048.0
8,2014-10-06,2330,台積電,126.0X24.0,3024.0
9,2014-11-05,2330,台積電,132.0X22.0,2904.0
10,2014-12-05,2330,台積電,137.5X22.0,3025.0
11,2015-01-05,2330,台積電,139.5X22.0,3069.0
12,2015-02-05,2330,台積電,145.5X20.0,2910.0
13,2015-03-05,2330,台積電,150.0X20.0,3000.0
14,2015-04-07,2330,台積電,146.0X21.0,3066.0
15,2015-05-05,2330,台積電,147.0X20.0,2940.0
16,2015-06-05,2330,台積電,140.0X22.0,3080.0
17,2015-07-06,2330,台積電,140.5X21.0,2950.5
18,2015-08-05,2330,台積電,134.0X22.0,2948.0
19,2015-09-07,2330,台積電,122.5X25.0,3062.5
20,2015-10-05,2330,台積電,132.5X23.0,3047.5
21,2015-11-05,2330,台積電,142.5X21.0,2992.5
22,2015-12-07,2330,台積電,143.5X21.0,3013.5
23,2016-01-05,2330,台積電,138.0X21.0,2898.0
24,2016-02-15,2330,台積電,145.0X21.0,3045.0
25,2016-03-07,2330,台積電,152.0X20.0,3040.0
26,2016-04-06,2330,台積電,153.5X19.0,2916.5
27,2016-05-05,2330,台積電,147.5X21.0,3097.5
28,2016-06-06,2330,台積電,161.0X18.0,2898.0
29,2016-07-05,2330,台積電,164.0X19.0,3116.0
30,2016-08-05,2330,台積電,177.0X16.0,2832.0
31,2016-09-05,2330,台積電,177.0X17.0,3009.0
32,2016-10-05,2330,台積電,186.0X17.0,3162.0
33,2016-11-07,2330,台積電,189.0X15.0,2835.0
34,2016-12-05,2330,台積電,179.0X17.0,3043.0
35,2017-01-05,2330,台積電,183.5X17.0,3119.5
36,2017-02-06,2330,台積電,184.5X16.0,2952.0
37,2017-03-06,2330,台積電,183.5X16.0,2936.0
38,2017-04-05,2330,台積電,193.0X16.0,3088.0
39,2017-05-05,2330,台積電,197.5X15.0,2962.5
40,2017-06-05,2330,台積電,212.0X14.0,2968.0
41,2017-07-05,2330,台積電,208.5X14.0,2919.0
42,2017-08-07,2330,台積電,216.0X14.0,3024.0
43,2017-09-05,2330,台積電,218.0X14.0,3052.0
44,2017-10-05,2330,台積電,224.5X13.0,2918.5
45,2017-11-06,2330,台積電,239.5X13.0,3113.5
46,2017-12-05,2330,台積電,229.5X13.0,2983.5
47,2018-01-05,2330,台積電,240.0X12.0,2880.0
48,2018-02-05,2330,台積電,253.0X12.0,3036.0
49,2018-03-05,2330,台積電,241.5X13.0,3139.5
50,2018-04-09,2330,台積電,245.0X12.0,2940.0
51,2018-05-07,2330,台積電,223.5X13.0,2905.5
52,2018-06-05,2330,台積電,229.0X13.0,2977.0
53,2018-07-05,2330,台積電,214.5X14.0,3003.0
54,2018-08-06,2330,台積電,245.5X13.0,3191.5
55,2018-09-05,2330,台積電,264.0X11.0,2904.0
56,2018-10-05,2330,台積電,250.0X12.0,3000.0
57,2018-11-05,2330,台積電,235.0X13.0,3055.0
58,2018-12-05,2330,台積電,226.0X13.0,2938.0
59,2019-01-07,2330,台積電,213.0X14.0,2982.0
60,2019-02-11,2330,台積電,228.0X13.0,2964.0
61,2019-03-05,2330,台積電,233.0X13.0,3029.0
